[03:04:06] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[03:04:08] [ServerMain/INFO]: Loaded 7 recipes
[03:04:08] [ServerMain/INFO]: Loaded 1271 advancements
[03:04:09] [Server thread/INFO]: Starting minecraft server version 1.20.1
[03:04:09] [Server thread/INFO]: Loading properties
[03:04:09] [Server thread/INFO]: Default game type: SURVIVAL
[03:04:09] [Server thread/INFO]: Generating keypair
[03:04:09] [Server thread/INFO]: Starting Minecraft server on *:25565
[03:04:09] [Server thread/INFO]: Using epoll channel type
[03:04:09] [Server thread/INFO]: Preparing level "world"
[03:04:21] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[03:04:22] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:22] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:22] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:23] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:23] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:24] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:25] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:26] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:26] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:27] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:27] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:28] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:28] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:29] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:30] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:30] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:31] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:31] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:32] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:33] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:33] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:34] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:35] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:35] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:36] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:36] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:37] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:37] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:39] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:39] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:42] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:42] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:44] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:44] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:47] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:47] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:48] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:48] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:49] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:49] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:54] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:54] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:04:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:05:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:05:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:05:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:05:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:05:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:05:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:05:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:05:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:05:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
