[19:38:56] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[19:38:58] [ServerMain/INFO]: Loaded 7 recipes
[19:38:58] [ServerMain/INFO]: Loaded 1271 advancements
[19:38:58] [Server thread/INFO]: Starting minecraft server version 1.20.1
[19:38:58] [Server thread/INFO]: Loading properties
[19:38:58] [Server thread/INFO]: Default game type: SURVIVAL
[19:38:58] [Server thread/INFO]: Generating keypair
[19:38:59] [Server thread/INFO]: Starting Minecraft server on *:25565
[19:38:59] [Server thread/INFO]: Using epoll channel type
[19:38:59] [Server thread/INFO]: Preparing level "world"
[19:39:04] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[19:39:05] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:39:05] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[19:39:05] [Worker-Main-2/INFO]: Preparing spawn area: 0%
[19:39:06] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[19:39:07] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[19:39:07] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[19:39:07] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[19:39:08] [Worker-Main-6/INFO]: Preparing spawn area: 1%
[19:39:08] [Worker-Main-3/INFO]: Preparing spawn area: 3%
[19:39:09] [Worker-Main-2/INFO]: Preparing spawn area: 3%
[19:39:09] [Worker-Main-3/INFO]: Preparing spawn area: 4%
[19:39:10] [Worker-Main-4/INFO]: Preparing spawn area: 5%
[19:39:10] [Worker-Main-7/INFO]: Preparing spawn area: 6%
[19:39:11] [Worker-Main-2/INFO]: Preparing spawn area: 7%
[19:39:11] [Worker-Main-6/INFO]: Preparing spawn area: 9%
[19:39:12] [Worker-Main-1/INFO]: Preparing spawn area: 10%
[19:39:12] [Worker-Main-4/INFO]: Preparing spawn area: 11%
[19:39:13] [Worker-Main-3/INFO]: Preparing spawn area: 13%
[19:39:13] [Worker-Main-5/INFO]: Preparing spawn area: 15%
[19:39:14] [Worker-Main-2/INFO]: Preparing spawn area: 16%
[19:39:14] [Worker-Main-6/INFO]: Preparing spawn area: 17%
[19:39:15] [Worker-Main-2/INFO]: Preparing spawn area: 19%
[19:39:15] [Worker-Main-3/INFO]: Preparing spawn area: 21%
[19:39:16] [Worker-Main-2/INFO]: Preparing spawn area: 23%
[19:39:16] [Worker-Main-4/INFO]: Preparing spawn area: 24%
[19:39:17] [Worker-Main-4/INFO]: Preparing spawn area: 25%
[19:39:17] [Worker-Main-4/INFO]: Preparing spawn area: 26%
[19:39:18] [Worker-Main-3/INFO]: Preparing spawn area: 29%
[19:39:18] [Worker-Main-4/INFO]: Preparing spawn area: 31%
[19:39:19] [Worker-Main-2/INFO]: Preparing spawn area: 32%
[19:39:19] [Worker-Main-4/INFO]: Preparing spawn area: 34%
[19:39:20] [Worker-Main-5/INFO]: Preparing spawn area: 35%
[19:39:20] [Worker-Main-6/INFO]: Preparing spawn area: 38%
[19:39:21] [Worker-Main-5/INFO]: Preparing spawn area: 41%
[19:39:21] [Worker-Main-5/INFO]: Preparing spawn area: 43%
[19:39:22] [Worker-Main-7/INFO]: Preparing spawn area: 44%
[19:39:22] [Worker-Main-2/INFO]: Preparing spawn area: 46%
[19:39:23] [Worker-Main-3/INFO]: Preparing spawn area: 49%
[19:39:23] [Worker-Main-6/INFO]: Preparing spawn area: 52%
[19:39:24] [Worker-Main-4/INFO]: Preparing spawn area: 53%
[19:39:24] [Worker-Main-3/INFO]: Preparing spawn area: 55%
[19:39:25] [Worker-Main-7/INFO]: Preparing spawn area: 57%
[19:39:25] [Worker-Main-5/INFO]: Preparing spawn area: 59%
[19:39:26] [Worker-Main-7/INFO]: Preparing spawn area: 62%
[19:39:26] [Worker-Main-3/INFO]: Preparing spawn area: 65%
[19:39:27] [Worker-Main-3/INFO]: Preparing spawn area: 67%
[19:39:27] [Worker-Main-7/INFO]: Preparing spawn area: 69%
[19:39:28] [Worker-Main-7/INFO]: Preparing spawn area: 71%
[19:39:28] [Worker-Main-4/INFO]: Preparing spawn area: 73%
[19:39:29] [Worker-Main-5/INFO]: Preparing spawn area: 76%
[19:39:29] [Worker-Main-5/INFO]: Preparing spawn area: 79%
[19:39:30] [Worker-Main-6/INFO]: Preparing spawn area: 82%
[19:39:30] [Worker-Main-6/INFO]: Preparing spawn area: 84%
[19:39:31] [Worker-Main-1/INFO]: Preparing spawn area: 86%
[19:39:31] [Worker-Main-6/INFO]: Preparing spawn area: 89%
[19:39:32] [Worker-Main-7/INFO]: Preparing spawn area: 91%
[19:39:32] [Worker-Main-6/INFO]: Preparing spawn area: 93%
[19:39:33] [Worker-Main-1/INFO]: Preparing spawn area: 95%
[19:39:33] [Worker-Main-5/INFO]: Preparing spawn area: 97%
[19:39:34] [Server thread/INFO]: Time elapsed: 29291 ms
[19:39:34] [Server thread/INFO]: Done (34.724s)! For help, type "help"
[19:39:34] [Server thread/INFO]: Starting remote control listener
[19:39:34] [Server thread/INFO]: Thread RCON Listener started
[19:39:34] [Server thread/INFO]: RCON running on 0.0.0.0:25575
